LOINC Code,Test Name,Normal Range,Most Common Units
6246-3,Homocysteine,4.6-11.6,µmol/L
8310-5,Hematocrit (Hct),"M: 39-50, F: 35-47",%
26881-3,Immunoglobulin A (IgA),70-400,mg/dL
6298-4,C-Reactive Protein (CRP),<10,mg/L
711-2,Hemoglobin (Hb),"M: 13.5-17.5, F: 12.0-15.5",g/dL
5792-7,Alanine Aminotransferase (ALT),"M: 7-55, F: 7-45",U/L
2500-7,Albumin,3.5-5.5,g/dL
84215-3,Sodium (Na),136-145,mEq/L
59032-3,"Bilirubin, free (unconjugated, indirect)",0.1-1.2,mg/dL
6768-6,Alkaline Phosphatase (ALP),20-140,U/L
59557-9,Mean Corpuscular Volume (MCV),80-100,fL
2713-6,"Glucose Post 75 g Glucose PO in Serum, Plasma or WB",≤ 7.8 (2 hours after),mmol/L
9279-1,Respiratory rate,12-20,breaths per minute
6690-2,LDL Cholesterol,<130,mg/dL
1742-6,Albumin/Globulin Ratio (A/G ratio),1.1-2.5,(dimensionless)
3024-7,Calcium (Ca),8.5-10.5,mg/dL
30428-7,WBC Count (Peripherial Blood),"4,500-11,000",/µL (cells/µL)
2093-3,Total Cholesterol,<200,mg/dL
6095-4,Platelet Count,"150,000-450,000",/µL (cells/µL)
2703-7,Carbon Dioxide (CO2),20-29,mEq/L
1920-8,Creatinine,"M: 0.6-1.2, F: 0.5-1.1",mg/dL
26515-7,Erythrocyte (RBC),"M: 4.7-6.1, F: 4.2-5.4",× 10^6/µL
770-8,AST (Aspartate aminotransaminase),"M: 8-48, F: 7-40",U/L
742-7,MCH (Mean Corpuscular Hemoglobin),27-33,pg
2708-6,Chloride (Cl),98-107,mEq/L
33756-8,Neutrophils,40-75,%
48065-7,Absolute Lymphocytes Count,"1,000-4,000",/µL (cells/µL)
5902-2,Bicarbonate (HCO3),21-31,mEq/L
71802-3,Albumin (Serum or Plasma),3.5-5.5,g/dL
4548-4,Basophils (Absolute),0-200,/µL (cells/µL)
6158-0,Eosinophils (Absolute),150-500,/µL (cells/µL)
19994-3,B-Type Natriuretic Peptide (BNP),<100,pg/mL
